year,fear,ideology,insurgent,qaeda,reign,terror,terrorism,terrorization,violence
1982.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
1982.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1982.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
1982.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1982.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1982.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1982.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
1982.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1982.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1982.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1982.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
1982.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0
1982.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0
1982.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1982.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
